
Residence halls open,Friday,August 18
Instruction begins,Tuesday,August 22
Labor Day Holiday - no classes,Monday,September 4
Fall Break begins at 1:10 p.m.,Saturday,October 7
Indigenous Peoples' Day,Monday,October 9
Instruction Resumes,Wednesday,October 11
Veterans Day,Saturday,November 11
Thanksgiving Recess Begins,Wednesday,November 22
Instruction Resumes,Monday,November 27
Last Day of Classes,Friday,December 1
Study Period,Saturday - Tuesday,December 2 - 5
Scheduled Exams,Wednesday - Thursday,December 6 - 14
Recognition Event for December Graduates,Saturday,December 16
